#,Thermostat,identifier,511856026822
#,Thermostat,name,Upstairs
#,Start,date,2018-03-01
#,End,date,2018-03-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Bedroom (F),Bedroom2
2018-02-28,23:00:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:05:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:10:00,heat,heatOff,,Sleep,79,66,74,56,,,0,0,0,,73.5,56,0,74.5,0,
2018-02-28,23:15:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:20:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:25:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:30:00,heat,heatOff,,Sleep,79,66,74,54,,,0,0,0,,73.5,54,0,74.5,0,
2018-02-28,23:35:00,heat,heatOff,,Sleep,79,66,74,55,,,0,0,0,,73.5,55,0,74.5,0,
2018-02-28,23:40:00,heat,heatOff,,Sleep,79,66,74,54,,,0,0,0,,73.5,54,0,74.5,0,
2018-02-28,23:45:00,heat,heatOff,,Sleep,79,66,74,54,,,0,0,0,,73.5,54,0,74.5,0,
2018-02-28,23:50:00,heat,heatOff,,Sleep,79,66,74,53,,,0,0,0,,73.6,53,0,74.5,0,
2018-02-28,23:55:00,heat,heatOff,,Sleep,79,66,74,53,,,0,0,0,,73.6,53,0,74.5,0,
2018-03-01,00:00:00,heat,heatOff,,Sleep,79,66,74,53,,,0,0,0,,73.6,53,0,74.5,0,
2018-03-01,00:05:00,heat,heatOff,,Sleep,79,66,74,54,,,0,0,0,,73.5,54,0,74.5,0,
2018-03-01,00:10:00,heat,heatOff,,Sleep,79,66,74,54,,,0,0,0,,73.5,54,0,74.5,0,
2018-03-01,00:15:00,heat,heatOff,,Sleep,79,66,74,53,,,0,0,0,,73.6,53,0,74.5,0,
2018-03-01,00:20:00,heat,heatOff,,Sleep,79,66,74,53,,,0,0,0,,73.6,53,0,74.5,0,
2018-03-01,00:25:00,heat,heatOff,,Sleep,79,66,73.9,54,,,0,0,0,,73.5,54,0,74.3,0,
2018-03-01,00:30:00,heat,heatOff,,Sleep,79,66,73.9,55,,,0,0,0,,73.5,55,0,74.3,0,
2018-03-01,00:35:00,heat,heatOff,,Sleep,79,66,73.9,55,,,0,0,0,,73.5,55,0,74.3,0,
2018-03-01,00:40:00,heat,heatOff,,Sleep,79,66,73.9,55,,,0,0,0,,73.5,55,0,74.3,0,
2018-03-01,00:45:00,heat,heatOff,,Sleep,79,66,73.8,55,,,0,0,0,,73.3,55,0,74.3,0,
2018-03-01,00:50:00,heat,heatOff,,Sleep,79,66,73.7,56,,,0,0,0,,73.2,56,0,74.3,0,
2018-03-01,00:55:00,heat,heatOff,,Sleep,79,66,73.7,56,,,0,0,0,,73.1,56,0,74.3,0,
2018-03-01,01:00:00,heat,heatOff,,Sleep,79,66,73.6,56,,,0,0,0,,73,56,0,74.3,0,
2018-03-01,01:05:00,heat,heatOff,,Sleep,79,66,73.5,56,,,0,0,0,,72.9,56,0,74.3,0,
2018-03-01,01:10:00,heat,heatOff,,Sleep,79,66,73.5,57,,,0,0,0,,72.8,57,0,74.3,0,
2018-03-01,01:15:00,heat,heatOff,,Sleep,79,66,73.5,57,,,0,0,0,,72.8,57,0,74.3,0,
2018-03-01,01:20:00,heat,heatOff,,Sleep,79,66,73.5,56,,,0,0,0,,72.8,56,0,74.3,0,
2018-03-01,01:25:00,heat,heatOff,,Sleep,79,66,73.4,56,,,0,0,0,,72.7,56,0,74.3,0,
2018-03-01,01:30:00,heat,heatOff,,Sleep,79,66,73.4,57,,,0,0,0,,72.5,57,0,74.3,0,
2018-03-01,01:35:00,heat,heatOff,,Sleep,79,66,73.3,57,,,0,0,0,,72.4,57,0,74.3,0,
2018-03-01,01:40:00,heat,heatOff,,Sleep,79,66,73.2,57,,,0,0,0,,72.3,57,0,74.3,0,
2018-03-01,01:45:00,heat,heatOff,,Sleep,79,66,73.2,58,,,0,0,0,,72.2,58,0,74.3,0,
2018-03-01,01:50:00,heat,heatOff,,Sleep,79,66,73.2,57,,,0,0,0,,72.2,57,0,74.3,0,
