#,Thermostat,identifier,511856026822
#,Thermostat,name,Upstairs
#,Start,date,2018-02-01
#,End,date,2018-02-28

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Bedroom (F),Bedroom2
2018-01-31,23:00:00,heat,heatOff,,Sleep,79,66,71.5,36,,,0,0,0,,70.5,36,0,72.5,0,
2018-01-31,23:05:00,heat,heatOff,,Sleep,79,66,71.3,36,,,0,0,0,,70.4,36,0,72.4,0,
2018-01-31,23:10:00,heat,heatOff,,Sleep,79,66,71.3,36,,,0,0,0,,70.4,36,0,72.3,0,
2018-01-31,23:15:00,heat,heatOff,,Sleep,79,66,71.3,36,,,0,0,0,,70.3,36,0,72.3,0,
2018-01-31,23:20:00,heat,heatOff,,Sleep,79,66,71.2,36,,,0,0,0,,70.2,36,0,72.3,0,
2018-01-31,23:25:00,heat,heatOff,,Sleep,79,66,71.2,36,,,0,0,0,,70.2,36,0,72.3,0,
2018-01-31,23:30:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.2,36,0,72.2,0,
2018-01-31,23:35:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.1,36,0,72.1,0,
2018-01-31,23:40:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.1,36,0,72.1,0,
2018-01-31,23:45:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.1,36,0,72.1,0,
2018-01-31,23:50:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.1,36,0,72.1,0,
2018-01-31,23:55:00,heat,heatOff,,Sleep,79,66,71.1,36,,,0,0,0,,70.1,36,0,72.1,0,
2018-02-01,00:00:00,heat,heatOff,,Sleep,79,66,71,36,,,0,0,0,,70,36,0,72,0,
