#,Thermostat,identifier,511856026822
#,Thermostat,name,Upstairs
#,Start,date,2018-04-01
#,End,date,2018-04-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Bedroom (F),Bedroom2
2018-04-01,00:00:00,off,heatOff,,Sleep,79,66,76.1,56,,,0,0,0,,75.2,56,0,77.2,0,
2018-04-01,00:05:00,off,heatOff,,Sleep,79,66,76.1,56,,,0,0,0,,75.1,56,0,77.1,0,
2018-04-01,00:10:00,off,heatOff,,Sleep,79,66,76.1,56,,,0,0,0,,75.1,56,0,77.1,0,
2018-04-01,00:15:00,off,heatOff,,Sleep,79,66,76.1,56,,,0,0,0,,75.2,56,0,77.1,0,
2018-04-01,00:20:00,off,heatOff,,Sleep,79,66,76,56,,,0,0,0,,75.1,56,0,77,0,
2018-04-01,00:25:00,off,heatOff,,Sleep,79,66,76,56,,,0,0,0,,75.1,56,0,76.9,0,
2018-04-01,00:30:00,off,heatOff,,Sleep,79,66,76,56,,,0,0,0,,75.1,56,0,76.9,0,
2018-04-01,00:35:00,off,heatOff,,Sleep,79,66,75.9,56,,,0,0,0,,75.1,56,0,76.8,0,
2018-04-01,00:40:00,off,heatOff,,Sleep,79,66,75.8,56,,,0,0,0,,75,56,0,76.7,0,
2018-04-01,00:45:00,off,heatOff,,Sleep,79,66,75.8,56,,,0,0,0,,75,56,0,76.7,0,
2018-04-01,00:50:00,off,heatOff,,Sleep,79,66,75.8,56,,,0,0,0,,75,56,0,76.7,0,
2018-04-01,00:55:00,off,heatOff,,Sleep,79,66,75.8,56,,,0,0,0,,74.9,56,0,76.7,0,
2018-04-01,01:00:00,off,heatOff,,Sleep,79,66,75.7,57,,,0,0,0,,74.9,57,0,76.6,0,
2018-04-01,01:05:00,off,heatOff,,Sleep,79,66,75.6,57,,,0,0,0,,74.8,57,0,76.5,0,
2018-04-01,01:10:00,off,heatOff,,Sleep,79,66,75.6,57,,,0,0,0,,74.8,57,0,76.5,0,
2018-04-01,01:15:00,off,heatOff,,Sleep,79,66,75.6,57,,,0,0,0,,74.7,57,0,76.5,0,
2018-04-01,01:20:00,off,heatOff,,Sleep,79,66,75.6,57,,,0,0,0,,74.7,57,0,76.4,0,
2018-04-01,01:25:00,off,heatOff,,Sleep,79,66,75.5,57,,,0,0,0,,74.7,57,0,76.4,0,
2018-04-01,01:30:00,off,heatOff,,Sleep,79,66,75.5,57,,,0,0,0,,74.7,57,0,76.4,0,
2018-04-01,01:35:00,off,heatOff,,Sleep,79,66,75.5,57,,,0,0,0,,74.7,57,0,76.4,0,
