#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-10-01
#,End,date,2018-10-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2018-10-01,01:00:00,cool,compressorCoolOff,,Sleep,79,65,75.3,54,72.3,0,0,0,0,,75.2,54,0,75.4,0,
2018-10-01,01:05:00,cool,compressorCoolOff,,Sleep,79,65,75.3,54,72.3,0,0,0,0,,75.2,54,0,75.5,0,
2018-10-01,01:10:00,cool,compressorCoolOff,,Sleep,79,65,75.4,54,72.3,0,0,0,0,,75.3,54,0,75.6,0,
2018-10-01,01:15:00,cool,compressorCoolOff,,Sleep,79,65,75.4,55,72.3,0,0,0,0,,75.3,55,0,75.6,0,
2018-10-01,01:20:00,cool,compressorCoolOff,,Sleep,79,65,75.5,55,72.3,0,0,0,0,,75.4,55,0,75.6,0,
2018-10-01,01:25:00,cool,compressorCoolOff,,Sleep,79,65,75.5,55,72.3,0,0,0,0,,75.4,55,0,75.6,0,
2018-10-01,01:30:00,cool,compressorCoolOff,,Sleep,79,65,75.5,55,72.1,0,0,0,0,,75.4,55,0,75.6,0,
2018-10-01,01:35:00,cool,compressorCoolOff,,Sleep,79,65,75.5,55,72.1,0,0,0,0,,75.5,55,0,75.6,0,
2018-10-01,01:40:00,cool,compressorCoolOff,,Sleep,79,65,75.6,55,72.1,0,0,0,0,,75.5,55,0,75.8,0,
2018-10-01,01:45:00,cool,compressorCoolOff,,Sleep,79,65,75.6,55,72.1,0,0,0,0,,75.5,55,0,75.8,0,
2018-10-01,01:50:00,cool,compressorCoolOff,,Sleep,79,65,75.6,55,72.1,0,0,0,0,,75.5,55,0,75.8,0,
2018-10-01,01:55:00,cool,compressorCoolOff,,Sleep,79,65,75.7,55,72.1,0,0,0,0,,75.6,55,0,75.8,0,
2018-10-01,02:00:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,72.2,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,02:05:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,72.2,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,02:10:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,72.2,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,02:15:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,72.2,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,02:20:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,72.2,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,02:25:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,72.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,02:30:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,72.1,0,0,0,0,,75.8,56,0,76.1,0,
2018-10-01,02:35:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.1,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,02:40:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.1,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,02:45:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.1,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,02:50:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.1,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,02:55:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.1,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,03:00:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,03:05:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,03:10:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,03:15:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.2,0,
2018-10-01,03:20:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.2,1,
2018-10-01,03:25:00,cool,compressorCoolOff,,Sleep,79,65,76,56,72.4,0,0,0,0,,75.8,56,0,76.3,1,
2018-10-01,03:30:00,cool,compressorCoolOff,,Sleep,79,65,76,56,71.6,0,0,0,0,,75.7,56,0,76.2,1,
2018-10-01,03:35:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.6,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,03:40:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.6,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,03:45:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.6,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,03:50:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.6,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,03:55:00,cool,compressorCoolOff,,Sleep,79,65,76,56,71.6,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:00:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.7,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:05:00,cool,compressorCoolOff,,Sleep,79,65,76,56,71.7,0,0,0,0,,75.8,56,0,76.1,0,
2018-10-01,04:10:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.7,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,04:15:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.7,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,04:20:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.7,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,04:25:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.7,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,04:30:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.4,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,04:35:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.4,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:40:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.4,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:45:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.4,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:50:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71.4,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,04:55:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71.4,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:00:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:05:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:10:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:15:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:20:00,cool,compressorCoolOff,,Sleep,79,65,75.8,56,71,0,0,0,0,,75.7,56,0,76,0,
2018-10-01,05:25:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,71,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:30:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:35:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:40:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:45:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:50:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,05:55:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.2,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:00:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:05:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:10:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:15:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:20:00,cool,compressorCoolOff,,Sleep,79,65,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:25:00,cool,compressorCoolOff,,Sleep,77,68.9,75.9,56,70.1,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:30:00,cool,compressorCoolOff,,Home,76,71,76,56,70,0,0,0,0,,75.8,56,0,76,0,
2018-10-01,06:35:00,cool,compressorCoolOff,,Home,76,71,76.2,56,70,0,0,0,0,,75.9,56,0,76.2,0,
2018-10-01,06:40:00,cool,compressorCoolOff,,Home,76,71,76.2,56,70,0,0,0,0,,75.9,56,0,76.2,0,
2018-10-01,06:45:00,cool,compressorCoolOff,,Home,76,71,76.2,56,70,0,0,0,0,,75.9,56,0,76.2,0,
2018-10-01,06:50:00,cool,compressorCoolOff,,Home,76,71,76.2,56,70,0,0,0,0,,75.9,56,0,76.2,0,
2018-10-01,06:55:00,cool,compressorCoolOff,,Home,76,71,76.2,56,70,0,0,0,0,,75.9,56,0,76.2,1,
2018-10-01,07:00:00,cool,compressorCoolOff,,Home,76,71,76.2,56,71.4,0,0,0,0,,75.9,56,0,76.2,1,
2018-10-01,07:05:00,cool,compressorCoolOff,,Home,76,71,76.2,56,71.4,0,0,0,0,,76,56,0,76.2,0,
2018-10-01,07:10:00,cool,compressorCoolOff,,Home,76,71,76.2,57,71.4,0,0,0,0,,76,57,0,76.2,0,
2018-10-01,07:15:00,cool,compressorCoolOff,,Home,76,71,76.2,57,71.4,0,0,0,0,,76,57,0,76.2,1,
2018-10-01,07:20:00,cool,compressorCoolOff,,Home,76,71,76.2,57,71.4,0,0,0,0,,76,57,0,76.2,1,
2018-10-01,07:25:00,cool,compressorCoolOff,,Home,76,71,76.2,57,71.4,0,0,0,0,,76,57,0,76.2,1,
2018-10-01,07:30:00,cool,compressorCoolOff,,Home,76,71,76.2,58,72.6,0,0,0,0,,76,58,0,76.2,1,
2018-10-01,07:35:00,cool,compressorCoolOff,,Home,76,71,76.2,58,72.6,0,0,0,0,,76,58,0,76.2,1,
2018-10-01,07:40:00,cool,compressorCoolOff,,Home,76,71,76,58,72.6,0,0,0,0,,75.9,58,0,76,0,
2018-10-01,07:45:00,cool,compressorCoolOff,,Home,76,71,76,58,72.6,0,0,0,0,,75.9,58,0,76,0,
2018-10-01,07:50:00,cool,compressorCoolOff,,Home,76,71,76,58,72.6,0,0,0,0,,75.8,58,0,76,1,
2018-10-01,07:55:00,cool,compressorCoolOff,,Home,79.9,66.4,76,58,72.6,0,0,0,0,,75.8,58,0,76,1,
2018-10-01,08:00:00,cool,compressorCoolOff,,Away,82,64,76,58,71.9,0,0,0,0,,75.8,58,0,76,0,
2018-10-01,08:05:00,cool,compressorCoolOff,,Away,82,64,76.1,58,71.9,0,0,0,0,,75.9,58,0,76.1,0,
2018-10-01,08:10:00,cool,compressorCoolOff,,Away,82,64,76.2,58,71.9,0,0,0,0,,75.9,58,0,76.2,1,
2018-10-01,08:15:00,cool,compressorCoolOff,,Away,82,64,76.2,58,71.9,0,0,0,0,,75.9,58,0,76.2,1,
2018-10-01,08:20:00,cool,compressorCoolOff,,Away,82,64,76.2,58,71.9,0,0,0,0,,75.9,58,0,76.2,0,
2018-10-01,08:25:00,cool,compressorCoolOff,,Away,82,64,76.2,58,71.9,0,0,0,0,,75.9,58,0,76.2,0,
2018-10-01,08:30:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,75.9,58,0,76.2,1,
2018-10-01,08:35:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,75.9,58,0,76.2,1,
2018-10-01,08:40:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,75.9,58,0,76.2,0,
2018-10-01,08:45:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,76,58,0,76.2,0,
2018-10-01,08:50:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,76,58,0,76.2,0,
2018-10-01,08:55:00,cool,compressorCoolOff,,Away,82,64,76.2,58,72.9,0,0,0,0,,76,58,0,76.2,0,
2018-10-01,09:00:00,cool,compressorCoolOff,,Away,82,64,76.2,58,73.4,0,0,0,0,,76,58,0,76.2,0,
2018-10-01,09:05:00,cool,compressorCoolOff,,Away,82,64,76.3,59,73.4,0,0,0,0,,76,59,0,76.3,0,
2018-10-01,09:10:00,cool,compressorCoolOff,,Away,82,64,76.1,59,73.4,0,0,0,0,,76,59,0,76.2,0,
2018-10-01,09:15:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.4,0,0,0,0,,76,59,0,76.3,0,
2018-10-01,09:20:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.4,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:25:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.4,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:30:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.6,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:35:00,cool,compressorCoolOff,,Away,82,64,76.1,59,73.6,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:40:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.6,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:45:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.6,0,0,0,0,,76,59,0,76.4,0,
2018-10-01,09:50:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.6,0,0,0,0,,76.1,59,0,76.4,0,
2018-10-01,09:55:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.6,0,0,0,0,,76.1,59,0,76.4,0,
2018-10-01,10:00:00,cool,compressorCoolOff,,Away,82,64,76.2,59,73.2,0,0,0,0,,76.1,59,0,76.4,0,
