#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-09-01
#,End,date,2018-09-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2018-09-01,00:00:00,cool,compressorCoolOff,,Sleep,79,65,77.3,48,81.9,0,0,0,0,,77,48,0,77.5,0,
2018-09-01,00:05:00,cool,compressorCoolOff,,Sleep,79,65,77.3,48,81.9,0,0,0,0,,77,48,0,77.6,0,
2018-09-01,00:10:00,cool,compressorCoolOff,,Sleep,79,65,77.4,48,81.9,0,0,0,0,,77.1,48,0,77.8,0,
2018-09-01,00:15:00,cool,compressorCoolOff,,Sleep,79,65,77.5,48,81.9,0,0,0,0,,77.1,48,0,77.8,0,
2018-09-01,00:20:00,cool,compressorCoolOff,,Sleep,79,65,77.6,48,81.9,0,0,0,0,,77.2,48,0,78,0,
2018-09-01,00:25:00,cool,compressorCoolOff,,Sleep,79,65,77.6,48,81.9,0,0,0,0,,77.3,48,0,78,0,
2018-09-01,00:30:00,cool,compressorCoolOff,,Sleep,79,65,77.7,49,81.2,0,0,0,0,,77.3,49,0,78,0,
2018-09-01,00:35:00,cool,compressorCoolOff,,Sleep,79,65,77.8,50,81.2,0,0,0,0,,77.4,50,0,78.2,0,
2018-09-01,00:40:00,cool,compressorCoolOff,,Sleep,79,65,77.8,50,81.2,0,0,0,0,,77.4,50,0,78.2,0,
2018-09-01,00:45:00,cool,compressorCoolOff,,Sleep,79,65,77.8,50,81.2,0,0,0,0,,77.5,50,0,78.2,0,
2018-09-01,00:50:00,cool,compressorCoolOff,,Sleep,79,65,77.9,50,81.2,0,0,0,0,,77.5,50,0,78.4,0,
2018-09-01,00:55:00,cool,compressorCoolOff,,Sleep,79,65,78,50,81.2,0,0,0,0,,77.6,50,0,78.5,0,
2018-09-01,01:00:00,cool,compressorCoolOff,,Sleep,79,65,78.1,50,81.6,0,0,0,0,,77.6,50,0,78.6,0,
2018-09-01,01:05:00,cool,compressorCoolOff,,Sleep,79,65,78.1,50,81.6,0,0,0,0,,77.6,50,0,78.6,0,
2018-09-01,01:10:00,cool,compressorCoolOff,,Sleep,79,65,78.1,50,81.6,0,0,0,0,,77.7,50,0,78.6,0,
2018-09-01,01:15:00,cool,compressorCoolOff,,Sleep,79,65,78.1,50,81.6,0,0,0,0,,77.7,50,0,78.6,0,
2018-09-01,01:20:00,cool,compressorCoolOff,,Sleep,79,65,78.2,50,81.6,0,0,0,0,,77.8,50,0,78.6,0,
2018-09-01,01:25:00,cool,compressorCoolOff,,Sleep,79,65,78.2,50,81.6,0,0,0,0,,77.8,50,0,78.6,0,
2018-09-01,01:30:00,cool,compressorCoolOff,,Sleep,79,65,78.2,50,80.5,0,0,0,0,,77.8,50,0,78.6,0,
