#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-02-01
#,End,date,2018-02-28

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2018-01-31,23:00:00,heat,heatOff,,Sleep,79,65,70.1,37,,,0,0,0,,70.4,37,0,69.8,0,
2018-01-31,23:05:00,heat,heatOff,,Sleep,79,65,69.9,37,,,0,0,0,,70.3,37,0,69.6,0,
2018-01-31,23:10:00,heat,heatOff,,Sleep,79,65,69.9,37,,,0,0,0,,70.3,37,0,69.6,0,
2018-01-31,23:15:00,heat,heatOff,,Sleep,79,65,69.9,37,,,0,0,0,,70.3,37,0,69.6,0,
2018-01-31,23:20:00,heat,heatOff,,Sleep,79,65,69.9,37,,,0,0,0,,70.3,37,0,69.6,0,
2018-01-31,23:25:00,heat,heatOff,,Sleep,79,65,69.9,37,,,0,0,0,,70.3,37,0,69.6,0,
2018-01-31,23:30:00,heat,heatOff,,Sleep,79,65,69.8,37,,,0,0,0,,70.3,37,0,69.5,0,
2018-01-31,23:35:00,heat,heatOff,,Sleep,79,65,69.8,37,,,0,0,0,,70.3,37,0,69.4,0,
2018-01-31,23:40:00,heat,heatOff,,Sleep,79,65,69.8,37,,,0,0,0,,70.2,37,0,69.4,0,
2018-01-31,23:45:00,heat,heatOff,,Sleep,79,65,69.8,37,,,0,0,0,,70.2,37,0,69.4,0,
2018-01-31,23:50:00,heat,heatOff,,Sleep,79,65,69.8,37,,,0,0,0,,70.2,37,0,69.4,0,
2018-01-31,23:55:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70.1,37,0,69.4,0,
2018-02-01,00:00:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70.1,37,0,69.4,0,
2018-02-01,00:05:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70.1,37,0,69.4,0,
2018-02-01,00:10:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70,37,0,69.4,0,
2018-02-01,00:15:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70,37,0,69.4,0,
2018-02-01,00:20:00,heat,heatOff,,Sleep,79,65,69.7,37,,,0,0,0,,70,37,0,69.4,0,
2018-02-01,00:25:00,heat,heatOff,,Sleep,79,65,69.6,38,,,0,0,0,,70,38,0,69.2,0,
2018-02-01,00:30:00,heat,heatOff,,Sleep,79,65,69.5,38,,,0,0,0,,69.9,38,0,69.2,0,
2018-02-01,00:35:00,heat,heatOff,,Sleep,79,65,69.5,38,,,0,0,0,,69.9,38,0,69.2,0,
2018-02-01,00:40:00,heat,heatOff,,Sleep,79,65,69.5,38,,,0,0,0,,69.9,38,0,69.2,0,
2018-02-01,00:45:00,heat,heatOff,,Sleep,79,65,69.5,38,,,0,0,0,,69.9,38,0,69.2,0,
2018-02-01,00:50:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.9,38,0,69.1,0,
2018-02-01,00:55:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:00:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:05:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:10:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:15:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:20:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:25:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:30:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:35:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:40:00,heat,heatOff,,Sleep,79,65,69.4,38,,,0,0,0,,69.8,38,0,69,0,
2018-02-01,01:45:00,heat,heatOff,,Sleep,79,65,69.3,38,,,0,0,0,,69.7,38,0,69,0,
2018-02-01,01:50:00,heat,heatOff,,Sleep,79,65,69.3,38,,,0,0,0,,69.7,38,0,69,0,
2018-02-01,01:55:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.6,38,0,68.9,0,
2018-02-01,02:00:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.6,38,0,68.9,0,
2018-02-01,02:05:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.6,38,0,68.9,0,
2018-02-01,02:10:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.6,38,0,68.9,0,
2018-02-01,02:15:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.5,38,0,68.9,0,
2018-02-01,02:20:00,heat,heatOff,,Sleep,79,65,69.2,38,,,0,0,0,,69.5,38,0,68.9,0,
2018-02-01,02:25:00,heat,heatOff,,Sleep,79,65,69.1,38,,,0,0,0,,69.5,38,0,68.7,0,
2018-02-01,02:30:00,heat,heatOff,,Sleep,79,65,69.1,38,,,0,0,0,,69.5,38,0,68.7,0,
2018-02-01,02:35:00,heat,heatOff,,Sleep,79,65,69.1,38,,,0,0,0,,69.5,38,0,68.7,0,
2018-02-01,02:40:00,heat,heatOff,,Sleep,79,65,69.1,38,,,0,0,0,,69.5,38,0,68.7,0,
2018-02-01,02:45:00,heat,heatOff,,Sleep,79,65,69.1,38,,,0,0,0,,69.5,38,0,68.7,0,
2018-02-01,02:50:00,heat,heatOff,,Sleep,79,65,69,38,,,0,0,0,,69.4,38,0,68.7,0,
2018-02-01,02:55:00,heat,heatOff,,Sleep,79,65,69,38,,,0,0,0,,69.4,38,0,68.7,0,
2018-02-01,03:00:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.4,38,0,68.6,0,
2018-02-01,03:05:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.4,38,0,68.5,0,
2018-02-01,03:10:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.6,0,
2018-02-01,03:15:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.5,0,
2018-02-01,03:20:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.5,0,
2018-02-01,03:25:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.5,0,
2018-02-01,03:30:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.5,0,
2018-02-01,03:35:00,heat,heatOff,,Sleep,79,65,68.9,38,,,0,0,0,,69.3,38,0,68.5,0,
2018-02-01,03:40:00,heat,heatOff,,Sleep,79,65,68.8,38,,,0,0,0,,69.2,38,0,68.5,0,
2018-02-01,03:45:00,heat,heatOff,,Sleep,79,65,68.8,38,,,0,0,0,,69.2,38,0,68.5,0,
2018-02-01,03:50:00,heat,heatOff,,Sleep,79,65,68.7,37,,,0,0,0,,69.2,37,0,68.4,0,
2018-02-01,03:55:00,heat,heatOff,,Sleep,79,65,68.7,37,,,0,0,0,,69.2,37,0,68.3,0,
2018-02-01,04:00:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:05:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:10:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:15:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:20:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:25:00,heat,heatOff,,Sleep,79,65,68.7,38,,,0,0,0,,69.2,38,0,68.3,0,
2018-02-01,04:30:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.2,38,0,68.1,0,
2018-02-01,04:35:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.2,38,0,68.1,0,
2018-02-01,04:40:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.2,38,0,68.1,0,
2018-02-01,04:45:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.1,38,0,68.1,0,
2018-02-01,04:50:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.1,38,0,68.1,0,
2018-02-01,04:55:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.1,38,0,68.1,0,
2018-02-01,05:00:00,heat,heatOff,,Sleep,79,65,68.6,38,,,0,0,0,,69.1,38,0,68.1,0,
