#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-04-01
#,End,date,2018-04-30

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2018-04-01,00:00:00,off,heatOff,,Sleep,79,65,73.8,61,,,0,0,0,,73.4,61,0,73.8,0,
2018-04-01,00:05:00,off,heatOff,,Sleep,79,65,73.8,62,,,0,0,0,,73.3,62,0,73.8,0,
2018-04-01,00:10:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.3,62,0,73.6,1,
2018-04-01,00:15:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.3,62,0,73.6,1,
2018-04-01,00:20:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.3,62,0,73.6,0,
2018-04-01,00:25:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.3,62,0,73.6,0,
2018-04-01,00:30:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.4,62,0,73.6,0,
2018-04-01,00:35:00,off,heatOff,,Sleep,79,65,73.6,62,,,0,0,0,,73.4,62,0,73.6,0,
2018-04-01,00:40:00,off,heatOff,,Sleep,79,65,73.5,62,,,0,0,0,,73.4,62,0,73.6,0,
2018-04-01,00:45:00,off,heatOff,,Sleep,79,65,73.5,62,,,0,0,0,,73.4,62,0,73.6,0,
2018-04-01,00:50:00,off,heatOff,,Sleep,79,65,73.5,62,,,0,0,0,,73.3,62,0,73.6,0,
2018-04-01,00:55:00,off,heatOff,,Sleep,79,65,73.4,62,,,0,0,0,,73.3,62,0,73.5,0,
2018-04-01,01:00:00,off,heatOff,,Sleep,79,65,73.4,62,,,0,0,0,,73.4,62,0,73.5,0,
2018-04-01,01:05:00,off,heatOff,,Sleep,79,65,73.5,61,,,0,0,0,,73.4,61,0,73.6,0,
2018-04-01,01:10:00,off,heatOff,,Sleep,79,65,73.4,61,,,0,0,0,,73.3,61,0,73.6,0,
2018-04-01,01:15:00,off,heatOff,,Sleep,79,65,73.4,61,,,0,0,0,,73.3,61,0,73.6,0,
