#,Thermostat,identifier,511819850891
#,Thermostat,name,Main Floor
#,Start,date,2018-05-01
#,End,date,2018-05-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Main Floor Remote 1 (F),Main Floor Remote 12
2018-05-01,00:00:00,off,heatOff,,Sleep,79,65,75.1,54,70.4,0,0,0,0,,75,54,0,75.1,1,
2018-05-01,00:05:00,off,heatOff,,Sleep,79,65,75.1,54,70.4,0,0,0,0,,75,54,0,75.1,1,
2018-05-01,00:10:00,off,heatOff,,Sleep,79,65,75.1,54,70.4,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,00:15:00,off,heatOff,,Sleep,79,65,75.1,54,70.4,0,0,0,0,,75.1,54,0,75.1,0,
2018-05-01,00:20:00,off,heatOff,,Sleep,79,65,75.1,54,70.4,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,00:25:00,off,heatOff,,Sleep,79,65,75.1,55,70.4,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,00:30:00,off,heatOff,,Sleep,79,65,75.1,55,69.6,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,00:35:00,off,heatOff,,Sleep,79,65,75,54,69.6,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,00:40:00,off,heatOff,,Sleep,79,65,75,55,69.6,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,00:45:00,off,heatOff,,Sleep,79,65,75,55,69.6,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,00:50:00,off,heatOff,,Sleep,79,65,75,55,69.6,0,0,0,0,,75.1,55,0,75.1,0,
2018-05-01,00:55:00,off,heatOff,,Sleep,79,65,75,55,69.6,0,0,0,0,,75.1,55,0,75.1,0,
2018-05-01,01:00:00,off,heatOff,,Sleep,79,65,75,55,67.9,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,01:05:00,off,heatOff,,Sleep,79,65,75,55,67.9,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,01:10:00,off,heatOff,,Sleep,79,65,75,55,67.9,0,0,0,0,,75,55,0,75.1,0,
2018-05-01,01:15:00,off,heatOff,,Sleep,79,65,75,54,67.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:20:00,off,heatOff,,Sleep,79,65,75,54,67.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:25:00,off,heatOff,,Sleep,79,65,75,54,67.9,0,0,0,0,,75,54,0,75.1,1,
2018-05-01,01:30:00,off,heatOff,,Sleep,79,65,75,54,69.9,0,0,0,0,,75,54,0,75.1,1,
2018-05-01,01:35:00,off,heatOff,,Sleep,79,65,75,54,69.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:40:00,off,heatOff,,Sleep,79,65,75,54,69.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:45:00,off,heatOff,,Sleep,79,65,75,54,69.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:50:00,off,heatOff,,Sleep,79,65,75,54,69.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,01:55:00,off,heatOff,,Sleep,79,65,75.1,54,69.9,0,0,0,0,,75,54,0,75.1,0,
2018-05-01,02:00:00,off,heatOff,,Sleep,79,65,75.1,55,69.9,0,0,0,0,,75.1,55,0,75.1,0,
2018-05-01,02:05:00,off,heatOff,,Sleep,79,65,75.1,56,69.9,0,0,0,0,,75.1,56,0,75.1,0,
2018-05-01,02:10:00,off,heatOff,,Sleep,79,65,75,55,69.9,0,0,0,0,,75.1,55,0,75.1,0,
2018-05-01,02:15:00,off,heatOff,,Sleep,79,65,74.9,55,69.9,0,0,0,0,,75,55,0,74.9,0,
2018-05-01,02:20:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:25:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:30:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:35:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:40:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:45:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:50:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,02:55:00,off,heatOff,,Sleep,79,65,74.9,56,69.9,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,03:00:00,off,heatOff,,Sleep,79,65,74.9,56,70.3,0,0,0,0,,75,56,0,74.9,0,
2018-05-01,03:05:00,off,heatOff,,Sleep,79,65,75,56,70.3,0,0,0,0,,75,56,0,75.1,0,
